,% budget recovered,% of gross from domestic,% of gross from international,budget (m),decade,domestic gross (m),international gross (m),title,worldwide gross,worldwide gross (m),x times budget recovered,year
156,598%,32.4%,67.6%,150.0,2000's,290,606,Harry Potter & the Goblet of Fire,"896,815,106",897.0,6.0,2005
157,628%,31.0%,69.0%,150.0,2000's,292,650,Harry Potter & the Order of the Phoenix,"942,218,425",942.0,6.3,2007
158,614%,31.4%,68.6%,130.0,2000's,250,548,Harry Potter & the Prisoner of Azkaban,"797,660,766",798.0,6.1,2004
159,819%,31.2%,68.8%,125.0,2000's,319,705,Harry Potter & the Sorcerer's Stone,"1,023,842,938",1024.0,8.2,2001
160,903%,29.1%,70.9%,100.0,2000's,263,640,Harry Potter and the Chamber of Secrets,"902,746,596",903.0,9.0,2002
161,782%,30.3%,69.7%,125.0,2010's,296,681,Harry Potter and the Deathly Hallows: Part 1,"977,070,383",977.0,7.8,2010
162,1074%,28.4%,71.6%,125.0,2010's,381,961,Harry Potter and the Deathly Hallows: Part 2,"1,342,359,942",1342.0,10.7,2011
163,374%,32.4%,67.6%,250.0,2000's,302,632,Harry Potter and the Half-Blood Prince,"934,483,039",934.0,3.7,2009
164,2896%,99.3%,0.7%,1.0,2010's,28,2,"Hello, My Name is Doris","28,962,889",29.0,29.0,2016
165,2299%,35.8%,64.2%,11.0,2000's,90,1624,High School Musical 3,"252,910,000",253.0,23.0,2008
166,531%,48.3%,51.7%,70.0,2000's,179,192,Hitch,"371,594,210",372.0,5.3,2005
167,380%,22.9%,77.1%,200.0,2010's,174,587,Hobbs & Shaw,"760,732,926",761.0,3.8,2019
168,286%,46.0%,54.0%,135.0,2010's,177,209,Home,"386,041,607",386.0,2.9,2015
169,2648%,60.0%,40.0%,18.0,1990's,286,191,Home Alone,"476,684,675",477.0,26.5,1990
170,1282%,48.4%,51.6%,28.0,1990's,174,185,Home Alone 2,"358,994,850",359.0,12.8,1992
171,422%,41.4%,58.6%,85.0,2010's,148,210,Hotel Transylvania,"358,375,603",358.0,4.2,2012
172,594%,35.7%,64.3%,80.0,2010's,170,305,Hotel Transylvania 2,"475,186,706",475.0,5.9,2015
173,661%,31.7%,68.3%,80.0,2010's,168,361,Hotel Transylvania 3: Summer Vacation,"528,583,774",529.0,6.6,2018
174,281%,75.4%,24.6%,123.0,2000's,261,85,How the Grinch Stole Christmas,"345,823,032",346.0,2.8,2000
175,300%,44.0%,56.0%,165.0,2010's,218,277,How to Train Your Dragon,"494,879,471",495.0,3.0,2010
176,429%,28.5%,71.5%,145.0,2010's,177,445,How to Train Your Dragon 2,"621,537,519",622.0,4.3,2014
177,407%,30.7%,69.3%,129.0,2010's,161,364,How to Train Your Dragon: The Hidden World,"524,580,592",525.0,4.1,2019
178,390%,43.8%,56.2%,150.0,2000's,256,329,I Am Legend,"585,410,052",585.0,3.9,2007
179,1193%,100.0%,0.0%,7.0,2010's,83,0,I Can Only Imagine,"83,482,352",83.0,11.9,2018
180,294%,41.0%,59.0%,120.0,2000's,145,208,"I, Robot","353,133,898",353.0,2.9,2004
181,639%,46.0%,54.0%,60.0,2000's,176,207,Ice Age,"383,257,136",383.0,6.4,2002
182,389%,15.7%,84.3%,105.0,2010's,64,345,Ice Age: Collision Course,"408,754,975",409.0,3.9,2016
183,923%,18.4%,81.6%,95.0,2010's,161,716,Ice Age: Continental Drift,"877,244,782",877.0,9.2,2012
184,985%,22.2%,77.8%,90.0,2000's,197,690,Ice Age: Dawn of the Dinosaurs,"886,686,817",887.0,9.9,2009
185,834%,29.3%,70.7%,80.0,2000's,195,472,Ice Age: The Meltdown,"667,094,506",667.0,8.3,2006
186,523%,35.0%,65.0%,160.0,2010's,293,544,Inception,"836,848,102",837.0,5.2,2010
187,622%,49.0%,51.0%,200.0,2010's,609,635,Incredibles 2,"1,243,089,244",1243.0,6.2,2018
188,1090%,37.5%,62.5%,75.0,1990's,306,511,Independence Day,"817,400,891",817.0,10.9,1996
189,236%,26.5%,73.5%,165.0,2010's,103,287,Independence Day: Resurgence,"389,681,935",390.0,2.4,2016
190,988%,41.6%,58.4%,48.0,1980's,197,277,Indiana Jones & the Last Crusade,"474,171,806",474.0,9.9,1989
191,427%,40.1%,59.9%,185.0,2000's,317,474,Indiana Jones and the Kingdom of the Crystal Skull,"790,653,942",791.0,4.3,2008
192,1190%,54.0%,46.0%,28.0,1980's,180,153,Indiana Jones and the Temple of Doom,"333,107,271",333.0,11.9,1984
193,459%,37.5%,62.5%,70.0,2000's,121,201,Inglourious Basterds,"321,457,747",321.0,4.6,2009
194,491%,41.6%,58.4%,175.0,2010's,357,502,Inside Out,"858,848,019",859.0,4.9,2015
195,4485%,80.3%,19.7%,1.5,2010's,54,133,Insidious,"67,280,000",67.0,44.9,2011
196,1095%,47.7%,52.3%,10.0,2010's,52,573,Insidious: Chpt 3,"109,518,558",110.0,11.0,2015
197,1677%,40.2%,59.8%,10.0,2010's,67,1004,Insidious: The Last Key,"167,700,948",168.0,16.8,2018
198,3238%,51.6%,48.4%,5.0,2010's,83,783,Insidious Chpt 2,"161,919,318",162.0,32.4,2013
199,1801%,44.9%,55.1%,5.5,2010's,44,546,Instructions Not Included,"99,067,206",99.0,18.0,2013
200,469%,24.3%,75.7%,165.0,2010's,188,586,Interstellar,"773,897,851",774.0,4.7,2014
201,418%,54.5%,45.5%,140.0,2000's,319,267,Iron Man,"585,796,247",586.0,4.2,2008
202,312%,50.1%,49.9%,200.0,2010's,312,312,Iron Man 2,"623,933,331",624.0,3.1,2010
203,607%,33.7%,66.3%,200.0,2010's,409,806,Iron Man 3,"1,214,811,252",1215.0,6.1,2013
204,1755%,46.9%,53.1%,40.0,2010's,329,373,It,"701,842,551",702.0,17.5,2017
205,599%,44.7%,55.3%,79.0,2010's,212,262,It Chapter Two,"473,122,525",473.0,6.0,2019
206,346%,39.1%,60.9%,120.0,2010's,162,253,Jason Bourne,"415,484,914",415.0,3.5,2016
207,5295%,55.8%,44.2%,9.0,1970's,266,211,Jaws,"476,512,065",477.0,52.9,1975
208,1010%,37.5%,62.5%,10.0,2010's,37,631,Jigsaw,"101,020,014",101.0,10.1,2017
209,438%,52.1%,47.9%,75.0,2010's,171,157,John Wick: Chapter 3 - Parabellum,"328,349,387",328.0,4.4,2019
210,1578%,30.4%,69.6%,70.0,2010's,335,769,Joker,"1,104,943,613",1105.0,15.8,2019
211,419%,31.0%,69.0%,80.0,2010's,104,231,Journey 2: The Mysterious Island,"335,287,748",335.0,4.2,2012
212,607%,40.0%,60.0%,132.0,2010's,320,481,Jumanji: The Next Level,"801,693,929",802.0,6.1,2019
213,1069%,42.0%,58.0%,90.0,2010's,405,558,Jumanji: Welcome to the Jungle,"962,542,945",963.0,10.7,2017
214,3082%,62.1%,37.9%,7.5,2000's,143,877,Juno,"231,184,173",231.0,30.8,2007
215,1762%,36.4%,63.6%,63.0,1990's,404,706,Jurassic Park,"1,109,802,321",1110.0,17.6,1993
216,397%,49.1%,50.9%,93.0,2000's,181,188,Jurassic Park III,"368,780,809",369.0,4.0,2001
217,1114%,39.1%,60.9%,150.0,2010's,653,1018,Jurassic World,"1,671,537,444",1672.0,11.1,2015
218,541%,37.6%,62.4%,185.0,2020's,376,625,Jurassic World: Dominion,"1,001,136,080",1001.0,5.4,2022
219,701%,31.9%,68.1%,187.0,2010's,418,893,Jurassic World: Fallen Kingdom,"1,310,466,296",1310.0,7.0,2018
220,219%,34.8%,65.2%,300.0,2010's,229,429,Justice League,"657,926,987",658.0,2.2,2017
221,269%,39.2%,60.8%,207.0,2000's,218,339,King Kong,"556,906,378",557.0,2.7,2005
222,395%,24.4%,75.6%,104.0,2010's,100,311,Kingsman: The Golden Circle,"410,902,662",411.0,4.0,2017
223,441%,31.0%,69.0%,94.0,2010's,128,286,Kingsman: The Secret Service,"414,351,546",414.0,4.4,2015
224,782%,52.8%,47.2%,40.0,2010's,165,148,Knives Out,"312,897,920",313.0,7.8,2019
225,306%,29.7%,70.3%,185.0,2010's,168,399,Kong: Skull Island,"566,652,812",567.0,3.1,2017
226,486%,34.1%,65.9%,130.0,2000's,216,416,Kung Fu Panda,"632,083,197",632.0,4.9,2008
227,444%,24.8%,75.2%,150.0,2010's,165,500,Kung Fu Panda 2,"665,692,281",666.0,4.4,2011
228,359%,27.5%,72.5%,145.0,2010's,144,378,Kung Fu Panda 3,"521,170,825",521.0,3.6,2016
229,1571%,32.1%,67.9%,30.0,2010's,151,320,La La Land,"471,226,899",471.0,15.7,2016
230,725%,33.6%,66.4%,61.0,2010's,149,293,Les Misérables,"442,299,309",442.0,7.3,2012
231,919%,45.0%,55.0%,35.0,1990's,145,177,Lethal Weapon 3,"321,731,527",322.0,9.2,1992
232,508%,20.5%,79.5%,120.0,2010's,125,484,Life of Pi,"609,016,565",609.0,5.1,2012
233,3036%,45.2%,54.8%,4.9,2010's,67,815,Lights Out,"148,768,835",149.0,30.4,2016
234,1242%,4.8%,95.0%,12.0,2010's,7,1416,Lion,"148,768,835",149.0,12.4,2016
235,311%,47.8%,52.2%,100.0,2010's,148,162,Little Fockers,"310,650,585",311.0,3.1,2010
236,353%,34.7%,65.3%,110.0,2000's,135,254,Live Free or Die Hard,"388,156,011",388.0,3.5,2007
237,516%,36.5%,63.5%,120.0,2010's,226,393,Logan,"619,179,950",619.0,5.2,2017
238,966%,35.2%,64.8%,93.0,2000's,316,582,LOTR: The Fellowship of the Ring,"898,182,036",898.0,9.7,2001
239,1220%,33.0%,67.0%,94.0,2000's,378,768,LOTR: The Return of the King,"1,146,436,214",1146.0,12.2,2003
240,1008%,36.2%,63.8%,94.0,2000's,343,605,LOTR: Two Towers,"947,939,315",948.0,10.1,2002
241,1203%,27.0%,73.0%,39.0,2010's,127,342,Lucy,"469,058,574",469.0,12.0,2014
242,211%,39.6%,60.4%,185.0,2010's,154,235,Mad Max: Fury Road,"389,561,515",390.0,2.1,2015
243,723%,35.7%,64.3%,75.0,2000's,194,348,Madagascar,"542,063,846",542.0,7.2,2005
244,515%,29.0%,71.0%,145.0,2010's,216,531,Madagascar 3: Europe's Most Wanted,"746,921,274",747.0,5.2,2012
245,403%,29.8%,70.2%,150.0,2000's,180,424,Madagascar: Escape 2 Africa,"603,900,354",604.0,4.0,2008
246,2389%,68.0%,32.0%,7.0,2010's,113,535,Magic Mike,"167,221,571",167.0,23.9,2012
