title,unadjusted gross ($m),inflation adjusted gross ($m),% budget recovered,x times budget recovered,budget  (m),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label
Spider-Man: Far from Home,1132,"1,339",707%,7.1,160,391,34.50%,741,65.50%,"1,131,927,996",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=226,https://en.wikipedia.org/wiki/Spider-Man:_Far_From_Home,
Spider-Man: Homecoming,880,"1,079",503%,5,175,334,38.00%,546,62.00%,"880,166,924",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=274,https://www.google.com/search?q=spider+man+homecoming+budget&ei=ufaNY4fKH-ybhbIP3Z6T6AY&ved=0ahUKEwjHiuGPz-L7AhXsTUEAHV3PBG0Q4dUDCA8&uact=5&oq=spider+man+homecoming+budget&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIKCAAQgAQQRhD7ATIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQFhAeMggIABAWEB4QDzIFCAAQhgMyBQgAEIYDMgUIABCGAzoKCAAQRxDWBBCwAzoHCAAQsAMQQzoNCAAQ5AIQ1gQQsAMYAToPCC4Q1AIQyAMQsAMQQxgCOgwILhDIAxCwAxBDGAI6BwguEEMQ6gQ6CggAELEDEIMBEEM6BAgAEEM6EgguEEMQ6gQQ3AQQ3gQQ4AQYAzoFCC4QgARKBAhBGABKBAhGGAFQxgJY2gdg4wloAXABeACAAXGIAa0EkgEDNi4xmAEAoAEByAESwAEB2gEGCAEQARgJ2gEGCAIQARgI2gEGCAMQARgU&sclient=gws-wiz-serp,
Spider-Man: Into the Spider-Verse,384,462,427%,4.3,90,190,49.50%,194,50.50%,"384,256,930",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=551,https://en.wikipedia.org/wiki/Spider-Man:_Into_the_Spider-Verse,
Spider-Man: No Way Home,1971,"2,244",986%,9.9,200,814,41.30%,"1,157",58.70%,"1,971,439,845",2021,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=205,https://en.wikipedia.org/wiki/Spider-Man:_No_Way_Home,
Spirited Away,356,605,1872%,18.7,19,14,3.90%,342,96.10%,"355,725,195",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=606,https://en.wikipedia.org/wiki/Spirited_Away,
Star Trek,386,544,257%,2.6,150,258,66.80%,128,33.20%,"385,680,446",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=548,"https://en.wikipedia.org/wiki/Star_Trek_(film)#:~:text=It%20was%20released%20in%20the,its%20%24150%20million%20production%20budget.",
Star Trek Beyond,343,432,186%,1.9,185,159,46.20%,185,53.80%,"343,471,816",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=635,https://en.wikipedia.org/wiki/Star_Trek_Beyond,
Star Trek Into Darkness,467,604,246%,2.5,190,229,49.00%,239,51.00%,"467,365,246",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=459,https://en.wikipedia.org/wiki/Star_Trek_Into_Darkness,
Star Wars,775,"3,946",7049%,70.5,11,461,59.40%,314,40.60%,"775,398,007",1977,1970's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=305,"https://www.statista.com/statistics/311356/star-wars-production-costs-box-office-revenue/#:~:text=Released%20in%201977%2C%20%22A%20New,around%20775%20million%20U.S.%20dollars.",YES
Suicide Squad,747,939,404%,4,185,325,43.50%,422,56.50%,"746,846,894",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=318,"https://en.wikipedia.org/wiki/Suicide_Squad_(film)#:~:text=Suicide%20Squad%20was%20a%20box,including%20advertising%20and%20promotion%20costs).",
Superman Returns,391,587,175%,1.8,223,200,51.20%,191,48.80%,"391,081,192",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=539,https://en.wikipedia.org/wiki/Superman_Returns,
Taken 2,376,494,836%,8.4,45,140,37.20%,236,62.80%,"376,152,455",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=563,"https://en.wikipedia.org/wiki/Taken_2#:~:text=Taken%202%20grossed%20%24139.9%20million,a%20budget%20of%20%2445%20million.",
Taken 3,326,416,680%,6.8,48,89,27.30%,237,72.70%,"326,479,141",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=667,"https://en.wikipedia.org/wiki/Taken_3#:~:text=of%20skills%22).-,Box%20office,a%20budget%20of%20%2455%20million.",
Tangled,592,814,228%,2.3,260,201,33.90%,392,66.10%,"592,462,816",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=376,"https://mint.intuit.com/blog/trends/the-top-ten-most-expensive-movies-ever-made-0313/#:~:text=Tangled%2C%20which%20was%20a%20retelling,animation%20and%20flashy%20computer%20animation.",
Tarzan,448,812,345%,3.4,130,171,38.20%,277,61.80%,"448,191,819",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=476,https://simple.wikipedia.org/wiki/Tarzan_(1999_movie),
Ted,549,722,845%,8.5,65,219,39.80%,331,60.20%,"549,368,315",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=396,https://en.wikipedia.org/wiki/Ted_(film),
Teenage Mutant Ninja Turtles,485,617,323%,3.2,150,191,39.40%,294,60.60%,"485,004,754",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=439,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_(1990_film),
Tenet,365,422,183%,1.8,200,59,16.00%,307,84.00%,"365,294,355",2020,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=587,"https://en.wikipedia.org/wiki/Tenet_(film)#:~:text=It%20was%20the%20first%20Hollywood,also%20a%20box%20office%20disappointment.",
Terminator 2,521,"1,152",521%,5.2,100,206,39.50%,315,60.50%,"520,881,154",1991,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=421,https://en.wikipedia.org/wiki/Terminator_2:_Judgment_Day,
Terminator 3,433,710,232%,2.3,187,150,34.70%,283,65.30%,"433,371,112",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=488,https://en.wikipedia.org/wiki/Terminator_3:_Rise_of_the_Machines,
Terminator Genisys,441,561,284%,2.8,155,90,20.40%,351,79.60%,"440,603,537",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=484,https://en.wikipedia.org/wiki/Terminator_Genisys,
Terminator Salvation,371,524,186%,1.9,200,125,33.80%,246,66.20%,"371,353,001",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=574,"https://en.wikipedia.org/wiki/Terminator_Salvation#:~:text=With%20an%20estimated%20%24200%20million,budget%20%24185%2D%24196%20million).",
The Adventures of Tintin,374,506,277%,2.8,135,78,20.80%,296,79.20%,"373,993,951",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=567,https://en.wikipedia.org/wiki/The_Adventures_of_Tintin_(film),
The Amazing Spider-Man,758,996,330%,3.3,230,262,34.60%,496,65.40%,"757,930,663",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=314,https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_(film),
The Amazing Spider-Man 2,709,902,242%,2.4,293,203,28.60%,506,71.40%,"708,982,323",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=332,https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_2,
The Angry Birds Movie,352,443,483%,4.8,73,108,30.50%,245,69.50%,"352,333,929",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=615,https://en.wikipedia.org/wiki/The_Angry_Birds_Movie,
The Avengers,1519,"1,995",690%,6.9,220,623,41.00%,895,59.00%,"1,518,815,515",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=208,https://en.wikipedia.org/wiki/The_Avengers_(2012_film),
The Batman,771,816,385%,3.9,200,369,47.90%,401,52.10%,"770,836,163",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=309,"https://en.wikipedia.org/wiki/The_Batman_(film)#:~:text=The%20film%20was%20a%20commercial,highest%2Dgrossing%20film%20of%202022.",
The Bodyguard,411,886,1644%,16.4,25,122,29.70%,289,70.30%,"411,046,449",1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=513,https://www.imdb.com/title/tt0103855/,
The Boss Baby,528,647,422%,4.2,125,175,33.20%,353,66.80%,"527,965,936",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=413,"https://en.wikipedia.org/wiki/The_Boss_Baby#:~:text=It%20grossed%20%24528%20million%20worldwide,all%20three%20awards%20to%20Coco.",
The Bourne Ultimatum,444,653,404%,4,110,227,51.20%,217,48.80%,"444,100,035",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=478,https://en.wikipedia.org/wiki/The_Bourne_Ultimatum_(film),
The Chronicles of Narnia: Prince Caspian,420,592,187%,1.9,225,142,33.80%,278,66.20%,"419,665,568",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=503,https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_Prince_Caspian,
The Conjuring,320,414,1602%,16,20,137,42.90%,183,57.10%,"320,406,242",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=679,https://en.wikipedia.org/wiki/The_Conjuring,
The Conjuring 2,322,404,805%,8,40,103,31.80%,219,68.20%,"321,834,351",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=673,https://en.wikipedia.org/wiki/The_Conjuring_2,
The Crimes of Grindelwald,655,787,327%,3.3,200,160,24.40%,495,75.60%,"654,855,901",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=350,,
The Croods,587,759,336%,3.4,175,187,31.90%,400,68.10%,"587,235,983",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=379,https://en.wikipedia.org/wiki/The_Croods,
The Curious Case of Benjamin Button,336,474,224%,2.2,150,128,38.00%,208,62.00%,"335,802,786",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=645,"https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film)#:~:text=The%20film%20was%20a%20box,Supporting%20Actress%20for%20Taraji%20P.",
The Da Vinci Code,760,"1,141",608%,6.1,125,218,28.60%,542,71.40%,"760,006,945",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=312,https://en.wikipedia.org/wiki/The_Da_Vinci_Code_(film),
The Dark Knight,1006,"1,419",544%,5.4,185,535,53.20%,471,46.80%,"1,006,234,167",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=249,https://en.wikipedia.org/wiki/The_Dark_Knight,
The Dark Knight Rises,1081,"1,420",360%,3.6,300,448,41.40%,633,58.60%,"1,081,169,825",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=233,https://en.wikipedia.org/wiki/The_Dark_Knight_Rises,
The Day After Tomorrow,553,888,442%,4.4,125,187,33.80%,366,66.20%,"552,639,571",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=395,https://en.wikipedia.org/wiki/The_Day_After_Tomorrow,
The Devil Wears Prada,327,490,933%,9.3,35,125,38.20%,202,61.80%,"326,706,115",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=666,"https://en.wikipedia.org/wiki/The_Devil_Wears_Prada_(film)#:~:text=The%20film%20grossed%20over%20%24326,grossing%20film%20worldwide%20in%202006.",
The Exorcist,441,"3,084",3678%,36.8,12,233,52.80%,208,47.20%,"441,306,145",1973,1970's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=482,https://en.wikipedia.org/wiki/The_Exorcist,
The Expendables 2,315,414,315%,3.1,100,85,27.00%,230,73.00%,"314,975,955",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=688,https://en.wikipedia.org/wiki/The_Expendables_2,
The Fate of the Furious,1236,"1,515",458%,4.6,270,226,18.30%,"1,010",81.70%,"1,236,005,118",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=220,"https://en.wikipedia.org/wiki/The_Fate_of_the_Furious#:~:text=With%20an%20estimated%20production%20budget,Walker's%20death%20in%20November%202013.",
The Flintstones,342,696,743%,7.4,46,131,38.20%,211,61.80%,"341,631,208",1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=638,https://en.wikipedia.org/wiki/The_Flintstones_(film),
The Force Awakens,2070,"2,636",676%,6.8,306,937,45.30%,"1,133",54.70%,"2,069,521,700",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=203,https://en.wikipedia.org/wiki/Star_Wars:_The_Force_Awakens,
The Fugitive,369,770,838%,8.4,44,184,49.80%,185,50.20%,"368,875,760",1993,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=579,"https://en.wikipedia.org/wiki/The_Fugitive_(1993_film)#:~:text=The%20Fugitive%20premiered%20in%20Westwood,against%20a%20%2444%20million%20budget.",
The Golden Compass,372,547,207%,2.1,180,70,18.80%,302,81.20%,"372,234,864",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=571,"https://en.wikipedia.org/wiki/The_Golden_Compass_(film)#:~:text=With%20a%20production%20budget%20of,the%20film%20in%20post%2Dproduction.",
The Good Dinosaur,332,423,166%,1.7,200,123,37.00%,209,63.00%,"332,207,671",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=655,https://en.wikipedia.org/wiki/The_Good_Dinosaur,
The Great Gatsby,354,457,186%,1.9,190,145,41.00%,209,59.00%,"353,659,851",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=609,https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film),
The Greatest Showman,436,534,519%,5.2,84,174,40.00%,261,60.00%,"435,732,529",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=487,"https://en.wikipedia.org/wiki/The_Greatest_Showman#:~:text=Reception-,Box%20office,production%20budget%20of%20%2484%20million.",
The Grinch,513,616,684%,6.8,75,271,52.90%,241,47.10%,"512,858,819",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=423,https://www.google.com/search?q=the+grinch+budget&oq=the+grinch+budget&aqs=chrome..69i57j0i512j0i22i30l4.1981j0j4&sourceid=chrome&ie=UTF-8,
The Hangover,469,662,1341%,13.4,35,277,59.10%,192,40.90%,"469,328,079",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=455,https://en.wikipedia.org/wiki/The_Hangover,
The Hangover Pt II,587,793,733%,7.3,80,254,43.40%,332,56.60%,"586,764,305",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=380,"https://en.wikipedia.org/wiki/The_Hangover_Part_II#:~:text=The%20Hangover%20Part%20II%20grossed,a%20budget%20of%20%2480%20million.",
The Hangover Pt III,362,468,351%,3.5,103,112,31.00%,250,69.00%,"362,000,072",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=593,"https://en.wikipedia.org/wiki/The_Hangover_Part_III#:~:text=The%20Hangover%20Part%20III%20grossed,a%20budget%20of%20%24103%20million.",
The Hobbit: An Unexpected Journey,1017,"1,336",565%,5.7,180,303,29.80%,714,70.20%,"1,017,030,651",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=248,https://en.wikipedia.org/wiki/The_Hobbit:_An_Unexpected_Journey,
The Hobbit: The Battle of the Five Armies,962,"1,225",321%,3.2,300,255,26.50%,707,73.50%,"962,201,338",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=255,https://en.wikipedia.org/wiki/The_Hobbit:_The_Battle_of_the_Five_Armies,
The Hobbit: The Desolation of Smaug,959,"1,240",384%,3.8,250,258,26.90%,701,73.10%,"959,027,992",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=257,https://www.google.com/search?q=hobbit+desolation+of+smaug+budget&ei=EJ-MY73DGreBhbIPr82x2A4&ved=0ahUKEwi9i4Kxh-D7AhW3QEEAHa9mDOsQ4dUDCA8&uact=5&oq=hobbit+desolation+of+smaug+budget&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQgAQyBQgAEIYDMgUIABCGAzIFCAAQhgM6CggAEEcQ1gQQsAM6BwguEEMQ6gQ6BQgAEJECOgUILhCRAjoECC4QQzoLCAAQgAQQsQMQgwE6CAguELEDEIMBOhEILhCABBCxAxCDARDHARDRAzoICC4QgAQQ1AI6EgguEEMQ6gQQ3AQQ3gQQ3wQYAToKCC4QsQMQQxDqBDoECAAQQzoHCC4Q1AIQQzoVCC4QsQMQQxDqBBDcBBDeBBDfBBgBOggILhCPARDqAjoICAAQjwEQ6gI6DgguEMcBEK8BEJECEOoEOgoIABCxAxDJAxBDOgcIABCxAxBDOgoILhDHARCvARBDOhkILhDHARCvARCRAhDqBBDcBBDeBBDgBBgBOgsILhCABBCxAxCDAToUCC4QgAQQsQMQgwEQxwEQ0QMQ1AI6CAguEIAEELEDOggILhDUAhCABDoSCC4QQxDqBBDcBBDeBBDgBBgBOhAILhCxAxCDARDHARDRAxBDOgoILhCxAxDUAhBDOgoILhCxAxCDARBDOhMILhCxAxCDARDHARDRAxBDEOoEOh4ILhCxAxCDARDHARDRAxBDEOoEENwEEN4EEOAEGAE6DQguENQCELEDEEMQ6gQ6BwguELEDEEM6EAguELEDEMcBEK8BENQCEEM6GAguENQCELEDEEMQ6gQQ3AQQ3gQQ4AQYAToQCC4QrwEQxwEQ1AIQsQMQQzoLCC4QxwEQrwEQkQI6FQguELEDEEMQ6gQQ3AQQ3gQQ4AQYAToICC4QkQIQ6gQ6EwguEJECEOoEENwEEN4EEOAEGAE6BwgAEIAEEAo6BggAEBYQHjoICAAQFhAeEA86BQghEKABOgcILhCABBAKOgUILhCABDoICC4QgAQQ6gQ6EwguEIAEEOoEENwEEN4EEOAEGAFKBAhBGABKBAhGGAFQ5ARYhVJggFRoGHABeACAAaIBiAG6GJIBBDM3LjOYAQCgAQGwAQrIAQjAAQHaAQYIARABGBQ&sclient=gws-wiz-serp,
The Hunchback of Notre Dame,325,627,465%,4.6,70,100,30.80%,225,69.20%,"325,338,851",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=668,https://en.wikipedia.org/wiki/The_Hunchback_of_Notre_Dame_(1996_film),
The Hunger Games,694,912,890%,8.9,78,408,58.80%,286,41.20%,"694,394,724",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=337,https://en.wikipedia.org/wiki/The_Hunger_Games_(film),
The Hunger Games: Catching Fire,865,"1,118",1109%,11.1,78,425,49.10%,440,50.90%,"865,011,746",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=279,,
The Incredibles,632,"1,015",436%,4.4,145,261,41.40%,370,58.60%,"631,607,053",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=358,https://en.wikipedia.org/wiki/The_Incredibles,
The Jungle Book (2016),967,"1,215",546%,5.5,177,364,37.70%,603,62.30%,"966,554,929",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=253,https://en.wikipedia.org/wiki/The_Jungle_Book_(2016_film),
The Karate Kid,359,493,898%,9,40,177,49.20%,183,50.80%,"359,126,022",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=598,https://en.wikipedia.org/wiki/The_Karate_Kid_(2010_film),
The King's Speech,427,587,2849%,28.5,15,139,32.50%,289,67.50%,"427,374,317",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=495,https://en.wikipedia.org/wiki/The_King%27s_Speech,
The Last Airbender,320,439,213%,2.1,150,132,41.20%,188,58.80%,"319,713,881",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=682,"https://en.wikipedia.org/wiki/The_Last_Airbender_(2010_film)#:~:text=However%2C%20James%20Newton%20Howard's,domestically%20and%20%24319%20million%20worldwide.",
The Last Jedi,1333,"1,634",420%,4.2,317,620,46.50%,713,53.50%,"1,332,698,830",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=215,https://en.wikipedia.org/wiki/Star_Wars:_The_Last_Jedi,
The Last Samurai,455,745,325%,3.2,140,111,24.40%,344,75.60%,"454,627,263",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=469,https://en.wikipedia.org/wiki/The_Last_Samurai,
The Legend of Tarzan,357,448,198%,2,180,127,35.50%,230,64.50%,"356,700,357",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=604,"https://en.wikipedia.org/wiki/The_Legend_of_Tarzan_(film)#:~:text=Reception-,Box%20office,even%20and%20justify%20a%20sequel.",
The Lego Batman Movie,312,383,390%,3.9,80,176,56.40%,136,43.60%,"312,136,671",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=694,"https://en.wikipedia.org/wiki/The_Lego_Batman_Movie#:~:text=The%20Lego%20Batman%20Movie%20grossed,production%20budget%20of%20%2480%20million.",
The Lego Movie,468,596,720%,7.2,65,258,55.10%,210,44.90%,"468,266,122",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=457,"https://en.wikipedia.org/wiki/The_Lego_Movie#:~:text=The%20Lego%20Movie%20premiered%20in,%2C%20story%2C%20humor%20and%20acting.",
The Lion King,1663,"1,967",640%,6.4,260,544,32.70%,"1,120",67.30%,"1,663,250,487",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=207,https://en.wikipedia.org/wiki/The_Lion_King_(2019_film),
The Lion King,1064,"2,166",2364%,23.6,45,423,39.80%,641,60.20%,"1,063,611,805",1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=238,https://en.wikipedia.org/wiki/The_Lion_King,
"The Lion, the Witch and the Wardrobe",745,"1,163",414%,4.1,180,292,39.20%,453,60.80%,"745,013,115",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=320,"https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe",
The Lorax,349,459,499%,5,70,214,61.40%,135,38.60%,"349,183,316",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=626,https://en.wikipedia.org/wiki/The_Lorax_(film),
The Lost World: Jurassic Park,619,"1,158",847%,8.5,73,229,37.00%,390,63.00%,"618,638,999",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=368,https://en.wikipedia.org/wiki/The_Lost_World:_Jurassic_Park,
The Martian,631,803,584%,5.8,108,228,36.20%,402,63.80%,"630,620,818",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=359,"https://en.wikipedia.org/wiki/The_Martian_(film)#:~:text=The%20Martian%20was%20a%20financial,a%20budget%20of%20%24108%20million.",
The Mask,352,716,1953%,19.5,18,120,34.10%,232,65.90%,"351,583,407",1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=620,"https://en.wikipedia.org/wiki/The_Mask_(1994_film)#:~:text=The%20film%20grossed%20over%20%24351,Diaz%20as%20a%20leading%20lady.",
The Matrix,467,847,742%,7.4,63,172,36.80%,295,63.20%,"467,222,728",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=460,"https://en.wikipedia.org/wiki/The_Matrix#:~:text=The%20Matrix%20opened%20in%20theaters,%2463%20million%20budget%2C%20becoming%20the",
The Matrix Reloaded,742,"1,216",495%,4.9,150,282,38.00%,460,62.00%,"741,847,937",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=322,https://en.wikipedia.org/wiki/The_Matrix_Reloaded,
The Matrix Revolutions,427,700,285%,2.8,150,139,32.60%,288,67.40%,"427,344,325",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=496,https://en.wikipedia.org/wiki/The_Matrix_Revolutions,
The Maze Runner,348,443,1024%,10.2,34,102,29.40%,246,70.60%,"348,319,861",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=627,https://en.wikipedia.org/wiki/The_Maze_Runner_(film),
The Meg,531,637,298%,3,178,146,27.40%,385,72.60%,"530,517,320",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=410,https://en.wikipedia.org/wiki/The_Meg,
The Mummy,416,754,520%,5.2,80,155,37.40%,261,62.60%,"415,933,406",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=506,https://en.wikipedia.org/wiki/The_Mummy_(1999_film),
The Mummy,409,502,512%,5.1,80,80,19.60%,329,80.40%,"409,231,607",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=516,https://en.wikipedia.org/wiki/The_Mummy_(1999_film),
The Mummy Returns,443,754,452%,4.5,98,202,45.60%,241,54.40%,"443,280,904",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=479,https://en.wikipedia.org/wiki/The_Mummy_Returns,
The Mummy: Tomb of the Dragon Emperor,403,569,278%,2.8,145,102,25.40%,301,74.60%,"403,449,830",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=525,https://www.google.com/search?q=the+mummy+tomb+of+the+dragon+emperor+budget&oq=the+mummy+tomb+of+the+dragon+emperor+budget&aqs=chrome..69i57j0i390l3.4832j1j4&sourceid=chrome&ie=UTF-8,
The Nun,366,439,1662%,16.6,22,117,32.10%,248,67.90%,"365,582,797",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=585,https://en.wikipedia.org/wiki/The_Nun_(2018_film),
